domain,grade,final_score,price_suggested,price_reason,type,source_run_id,insight,currently_available
riskedge.io,Buy,8.6473,1500,"A two_word_descriptive Buy name with a strong 8.65 score on .io, priced at baseline mid-range for clear, descriptive tech names in this grade and TLD.",two_word_descriptive,20260219T150342Z,"Clear and descriptive two-word blend that suggests a focus on risk management or analytics, suitable for fintech or security sectors. The .io TLD aligns well with tech startups.",true
kerneltrue.com,Buy,8.6461,3000,"A coined_tech_brandable Buy with a strong 8.65 score on premium .com, priced slightly above baseline reflecting strong brandability and .com TLD advantage.",coined_tech_brandable,20260220T135343Z,"A coined yet meaningful name combining 'kernel' and 'true', implying authenticity or core technology; memorable and versatile with a strong .com TLD.",true
railbase.io,Buy,8.6453,1500,"As a two_word_descriptive Buy on .io with an 8.65 score, this clear and industry-focused name is priced at the baseline mid-range for its grade and TLD.",two_word_descriptive,20260219T173038Z,"Strong two-word descriptive name ideal for logistics or rail industry tech, with a concise and clear brand presence; .io suits a tech-focused audience.",true
newalign.io,Buy,8.6449,1400,"A coined_tech_brandable Buy with an 8.64 score on .io, priced slightly above baseline reflecting modern, brandable feel and tech-focused TLD.",coined_tech_brandable,20260219T150342Z,"A modern, coined name suggesting innovation and alignment, well suited for tech or consulting startups; the .io TLD complements the tech vibe.",true
edgegold.io,Buy,8.6378,1500,"Two_word_descriptive Buy with an 8.64 score on .io, priced at baseline mid-range consistent with clear, descriptive names in this category and grade.",two_word_descriptive,20260220T140830Z,"Combines 'edge' and 'gold' to suggest premium or cutting-edge value; memorable and suitable for tech or finance sectors, with a strong .io TLD fit.",true
risksolid.com,Buy,8.6347,2800,"A two_word_descriptive Buy with an 8.63 score on premium .com, priced slightly above baseline reflecting strong clarity, brandability, and TLD advantage.",two_word_descriptive,20260219T220045Z,"Clear, descriptive two-word name implying stability in risk management; highly brandable with a trusted .com extension.",true
newbase.io,Buy,8.6265,1400,"A coined_tech_brandable Buy with a 8.63 score and short length on .io, priced slightly above baseline for its grade and TLD due to strong brand appeal and brevity.",coined_tech_brandable,20260220T140830Z,"Short, fresh-sounding name suggesting a foundation for innovation; well-suited for tech startups with a strong .io TLD.",true
coreai.io,Buy,8.624,1900,"As a coined_tech_brandable Buy with a strong score of 8.624 and a concise 6-character .io domain, coreai.io is priced slightly above baseline reflecting its clear AI focus and tech appeal.",coined_tech_brandable,20260219T224013Z,Concise and descriptive blend emphasizing AI as a core focus; highly relevant and memorable with a fitting .io extension.,true
atlasrisk.io,Buy,8.6006,1200,Atlasrisk.io is a niche_vertical Buy with a solid 8.6 score; priced conservatively in the mid-range for .io domains due to its narrower industry focus and 9-character length.,niche_vertical,20260220T140830Z,"Strong niche name implying comprehensive risk management or analytics, well-suited for fintech or insurance tech startups; .io TLD aligns with tech focus.",true
edgerail.io,Buy,8.6002,1200,"As a niche_vertical Buy with a strong 8.6 score and concise 8-character .io domain, edgerail.io is priced conservatively but fairly within the .io Buy range given its specific industry appeal.",niche_vertical,20260220T135936Z,"Concise and modern compound suggesting cutting-edge rail technology or services, with a tech-friendly .io TLD enhancing appeal for startups.",true
layerlocal.com,Buy,8.6002,1400,"Layerlocal.com is a two_word_descriptive Buy with a strong 8.6 score and a solid .com TLD; priced at baseline mid-range reflecting clarity, brandability, and length.",two_word_descriptive,20260219T150342Z,"Clear and brandable two-part name implying localized services or technology layers, suitable for local tech or service platforms; strong .com presence.",true
smartrue.io,Buy,8.5991,1800,Smartrue.io is a coined_tech_brandable Buy with a strong score of 8.599 and an 8-character .io domain; priced slightly above baseline reflecting its invented but memorable tech startup appeal.,coined_tech_brandable,20260220T135343Z,"Invented name blending 'smart' and 'true', conveying intelligence and reliability; memorable and fitting for tech startups with a .io TLD.",true
aialign.ai,Buy,8.4165,1200,Aialign.ai is a two_word_descriptive Buy with a solid 8.416 score and a short 7-character .ai domain; priced at baseline mid-range for clear and relevant AI branding.,two_word_descriptive,20260219T152816Z,"Aialign is a concise and descriptive name that suggests AI alignment or optimization, highly relevant and brandable within the AI sector, complemented by the .ai TLD.",true
boundaryrisk.com,Buy,7.7381,1100,Boundaryrisk.com is a two_word_descriptive Buy with a lower score of 7.738 and a longer 12-character .com domain; priced conservatively near the lower-mid range for its niche clarity.,two_word_descriptive,20260220T134556Z,"Descriptive and professional name well-suited for risk management or security niches, with a valuable .com TLD boosting credibility.",true
opensolid.ai,Buy,7.6378,900,Opensolid.ai is a two_word_descriptive Buy with a moderate 7.638 score and 9-character length; priced conservatively at the lower-mid range for .ai reflecting solid but less strong appeal.,two_word_descriptive,20260219T152816Z,"Clear, strong, and trustworthy sounding, combining 'open' and 'solid' evokes transparency and reliability in AI solutions; good fit for .ai.",true
edgeaudit.ai,Buy,7.6323,900,Edgeaudit.ai is a two_word_descriptive Buy with a score of 7.632 and 9 characters; priced conservatively at the lower-mid range for .ai given its niche focus and moderate score.,two_word_descriptive,20260219T173553Z,"Descriptive and niche-focused, 'edge' and 'audit' imply cutting-edge auditing services, ideal for AI-driven compliance or security tools.",true
gocontrol.ai,Buy,7.6209,900,"Gocontrol.ai is a two_word_descriptive Buy with a 7.621 score and 9 characters; priced conservatively at the lower-mid range for .ai reflecting its clear, action-oriented branding but moderate strength.",two_word_descriptive,20260219T152816Z,"Action-oriented and easy to remember, 'go' and 'control' imply dynamic management or automation, well suited for AI applications.",true
